instance,response,bagID,1,8,-0.117,5,1,8,-0.117
0,1,1,1,8,-0.117,5,1,8,-0.117
1,1,1,1,8,-0.117,5,1,8,-0.117
2,1,1,1,8,-0.117,5,1,8,-0.117
3,1,1,1,8,-0.117,5,1,8,-0.117
4,1,1,1,8,-0.117,5,1,34,-0.087
5,1,1,1,34,-0.087,5,1,8,-0.117
6,1,1,1,34,-0.087,5,1,34,0.013
7,1,1,1,34,0.013,5,1,34,-0.087
8,1,1,1,34,0.013,5,1,8,-0.117
9,1,1,1,8,-0.117,5,1,34,0.013
10,1,1,1,8,-0.117,5,1,8,-0.117
11,1,1,1,8,-0.117,5,1,8,-0.117
12,1,1,1,8,-0.117,0,4,1,0.142
13,1,1,4,1,0.142,0,1,8,-0.117
14,1,1,1,8,-0.117,0,4,1,0.143
15,1,1,4,1,0.143,0,1,8,-0.117
16,1,1,1,8,-0.117,0,4,1,0.142
17,1,1,4,1,0.142,0,1,8,-0.117
18,1,1,1,8,-0.117,0,4,1,0.142
19,1,1,4,1,0.142,0,1,8,-0.117
20,1,1,1,34,-0.087,5,1,11,-0.087
21,1,1,1,11,-0.087,5,1,34,-0.087
22,1,1,1,11,-0.087,5,1,11,0.013
23,1,1,1,11,0.013,5,1,11,-0.087
24,1,1,1,11,0.013,5,1,8,-0.117
25,1,1,1,8,-0.117,5,1,11,0.013
26,1,1,1,8,-0.117,5,1,8,-0.117
27,1,1,1,8,-0.117,5,1,8,-0.117
28,1,1,1,8,-0.117,5,1,34,0.013
29,1,1,1,34,0.013,5,1,8,-0.117
30,1,1,1,8,-0.117,0,4,1,0.143
31,1,1,4,1,0.143,0,1,8,-0.117
32,1,1,1,8,-0.117,0,4,1,0.143
33,1,1,4,1,0.143,0,1,8,-0.117
34,1,1,1,11,-0.087,5,1,8,-0.117
35,1,1,1,8,-0.117,5,1,11,-0.087
36,1,1,1,8,-0.117,5,1,8,-0.117
37,1,1,1,8,-0.117,5,1,8,-0.117
38,1,1,1,8,-0.117,5,1,8,-0.117
39,1,1,1,8,-0.117,5,1,8,-0.117
40,1,1,1,8,-0.117,5,1,8,-0.117
41,1,1,1,8,-0.117,5,1,8,-0.117
42,1,1,1,8,-0.117,5,1,11,0.013
43,1,1,1,11,0.013,5,1,8,-0.117
44,1,1,1,8,-0.117,0,4,1,0.142
45,1,1,4,1,0.142,0,1,8,-0.117
46,1,1,1,8,-0.117,0,4,1,0.143
47,1,1,4,1,0.143,0,1,8,-0.117
48,1,1,1,8,-0.117,0,4,1,0.142
49,1,1,4,1,0.142,0,1,8,-0.117
50,1,1,6,19,0.812,0,1,8,-0.117
51,1,1,1,8,-0.117,0,6,19,0.812
52,1,1,6,19,0.812,1,7,20,-0.388
53,1,1,7,20,-0.388,1,6,19,0.812
54,1,1,6,19,0.812,1,7,20,-0.388
55,1,1,7,20,-0.388,1,6,19,0.812
56,1,2,1,8,-0.119,5,1,8,-0.119
57,1,2,1,8,-0.119,5,1,8,-0.119
58,1,2,1,8,-0.119,5,1,8,-0.119
59,1,2,1,8,-0.119,5,1,8,-0.119
60,1,2,1,8,-0.119,5,1,13,0.011
61,1,2,1,13,0.011,5,1,8,-0.119
62,1,2,1,13,0.011,5,1,8,-0.119
63,1,2,1,8,-0.119,5,1,13,0.011
64,1,2,1,8,-0.119,5,1,8,-0.118
65,1,2,1,8,-0.118,5,1,8,-0.119
66,1,2,1,8,-0.118,5,1,8,-0.119
67,1,2,1,8,-0.119,5,1,8,-0.118
68,1,2,1,8,-0.119,5,1,8,-0.119
69,1,2,1,8,-0.119,5,1,8,-0.119
70,1,2,1,8,-0.119,5,1,8,-0.168
71,1,2,1,8,-0.168,5,1,8,-0.119
72,1,2,1,8,-0.168,5,1,8,-0.119
73,1,2,1,8,-0.119,5,1,8,-0.168
74,1,2,1,8,-0.119,5,1,8,-0.118
75,1,2,1,8,-0.118,5,1,8,-0.119
76,1,2,1,8,-0.118,5,1,13,0.011
77,1,2,1,13,0.011,5,1,8,-0.118
78,1,2,1,13,0.011,5,1,8,-0.119
79,1,2,1,8,-0.119,5,1,13,0.011
80,1,2,1,13,0.011,0,1,13,0.011
81,1,2,1,13,0.011,0,1,13,0.011
82,1,2,1,8,-0.119,0,1,3,0.011
83,1,2,1,3,0.011,0,1,8,-0.119
84,1,2,1,3,0.011,0,1,8,-0.119
85,1,2,1,8,-0.119,0,1,3,0.011
86,1,2,1,8,-0.119,0,6,19,0.812
87,1,2,6,19,0.812,0,1,8,-0.119
88,1,2,6,19,0.812,1,7,20,-0.388
89,1,2,7,20,-0.388,1,6,19,0.812
90,1,2,6,19,0.812,1,7,20,-0.388
91,1,2,7,20,-0.388,1,6,19,0.812
92,1,2,1,8,-0.168,0,1,3,0.011
93,1,2,1,3,0.011,0,1,8,-0.168
94,1,2,1,8,-0.119,0,4,1,0.142
95,1,2,4,1,0.142,0,1,8,-0.119
96,1,2,1,8,-0.119,0,4,1,0.142
97,1,2,4,1,0.142,0,1,8,-0.119
98,1,2,1,8,-0.118,0,4,1,0.142
99,1,2,4,1,0.142,0,1,8,-0.118
100,1,2,1,8,-0.119,0,4,1,0.142
101,1,2,4,1,0.142,0,1,8,-0.119
102,1,2,1,8,-0.119,0,4,1,0.142
103,1,2,4,1,0.142,0,1,8,-0.119
104,1,2,1,8,-0.118,0,4,1,0.142
105,1,2,4,1,0.142,0,1,8,-0.118
106,1,2,1,3,0.011,0,4,1,0.061
107,1,2,4,1,0.061,0,1,3,0.011
108,1,2,1,3,0.011,0,4,1,0.061
109,1,2,4,1,0.061,0,1,3,0.011
110,1,2,1,3,0.011,0,4,1,0.061
111,1,2,4,1,0.061,0,1,3,0.011
112,1,2,1,3,0.011,0,4,1,0.061
113,1,2,4,1,0.061,0,1,3,0.011
114,1,2,1,3,0.011,0,4,1,0.061
115,1,2,4,1,0.061,0,1,3,0.011
116,1,3,1,8,-0.121,5,1,8,-0.121
117,1,3,1,8,-0.121,5,1,8,-0.121
118,1,3,1,8,-0.121,5,1,11,0.009
119,1,3,1,11,0.009,5,1,8,-0.121
120,1,3,1,11,0.009,5,1,11,-0.091
121,1,3,1,11,-0.091,5,1,11,0.009
122,1,3,1,11,-0.091,5,1,11,0.009
123,1,3,1,11,0.009,5,1,11,-0.091
124,1,3,1,11,0.009,5,1,8,-0.122
125,1,3,1,8,-0.122,5,1,11,0.009
126,1,3,1,8,-0.122,5,1,8,-0.121
127,1,3,1,8,-0.121,5,1,8,-0.122
128,1,3,1,11,0.009,5,1,8,-0.121
129,1,3,1,8,-0.121,5,1,11,0.009
130,1,3,1,8,-0.121,5,1,8,-0.121
131,1,3,1,8,-0.121,5,1,8,-0.121
132,1,3,1,8,-0.121,5,1,11,0.009
